ipni_id,accepted_name,genera,number_of_regions,region,lifeform_category ,climate_description,seedbank_conserved,iucn_assessed,redlist_category,threat_pred,threat_prediction_prob
624562-1,Cranichis gibbosa,Cranichis,2,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.449337069
67667-2,Cranichis glabricaulis,Cranichis,2,Brazil,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.66554692
624564-1,Cranichis glandulosa,Cranichis,1,Mexico,herbaceous perennial,seasonally dry tropical,No,No,Not Assessed,threatened,0.837436222
67668-2,Cranichis gracilis,Cranichis,2,Mexico,herbaceous perennial,seasonally dry tropical,No,No,Not Assessed,threatened,0.748095014
294589-2,Cranichis hassleri,Cranichis,1,Southern South America,herbaceous perennial,seasonally dry tropical,No,No,Not Assessed,threatened,0.746745091
67670-2,Cranichis hieroglyphica,Cranichis,4,Mexico,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.775179866
77199264-1,Cranichis juajibioyi,Cranichis,1,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.795771162
77199263-1,Cranichis killipii,Cranichis,2,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.754311244
67671-2,Cranichis lankesteri,Cranichis,2,Central America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.639001247
67672-2,Cranichis lehmanniana,Cranichis,2,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.552035742
624573-1,Cranichis lehmannii,Cranichis,4,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.326866302
67673-2,Cranichis lichenophila,Cranichis,1,Western South America,herbaceous perennial,seasonally dry tropical,No,No,Not Assessed,threatened,0.662988321
77176673-1,Cranichis longipetiolata,Cranichis,3,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.493000521
624578-1,Cranichis macroblepharis,Cranichis,1,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.866262942
294586-2,Cranichis mandonii,Cranichis,2,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.686750711
67678-2,Cranichis monophylla,Cranichis,2,Northern South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.461900793
624587-1,Cranichis muscosa,Cranichis,24,Southeastern U.S.A.,herbaceous perennial,seasonally dry tropical,No,No,Not Assessed,not threatened,0.057915215
77199265-1,Cranichis neglecta,Cranichis,1,Western South America,herbaceous perennial,seasonally dry tropical,No,No,Not Assessed,threatened,0.795771162
67680-2,Cranichis nigrescens,Cranichis,2,Central America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.490068052
315769-2,Cranichis notata,Cranichis,3,Mexico,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.912367756
67681-2,Cranichis nudilabia,Cranichis,1,Brazil,herbaceous perennial,seasonally dry tropical,No,No,Not Assessed,threatened,0.723858377
294583-2,Cranichis ovatilabia,Cranichis,1,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.683023656
67684-2,Cranichis parvula,Cranichis,3,Northern South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.520827978
77199268-1,Cranichis pennellii,Cranichis,1,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.795771162
624600-1,Cranichis picta,Cranichis,2,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.552031747
294576-2,Cranichis pleioneura,Cranichis,1,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.683023656
294573-2,Cranichis polyantha,Cranichis,5,Central America,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.293978735
624605-1,Cranichis polyblephara,Cranichis,1,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.683023656
77199271-1,Cranichis popayanensis,Cranichis,1,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.795771162
77199273-1,Cranichis pseudomuscosa,Cranichis,3,Northern South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.640769561
67690-2,Cranichis pulvinifera,Cranichis,3,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.660721186
77136588-1,Cranichis queremalensis,Cranichis,1,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.795351232
624609-1,Cranichis reticulata,Cranichis,1,Central America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.80257021
899561-1,Cranichis revoluta,Cranichis,1,Central America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.920033684
937315-1,Cranichis ricartii,Cranichis,4,Caribbean,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.764194554
77199260-1,Cranichis roldanii,Cranichis,1,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.795771162
77136590-1,Cranichis rotundifolia,Cranichis,1,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.795351232
67691-2,Cranichis saccata,Cranichis,1,Central America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.85729621
77136589-1,Cranichis schlechteri,Cranichis,1,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.795351232
624612-1,Cranichis schlimii,Cranichis,3,Northern South America,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.422028062
77199261-1,Cranichis schultesii,Cranichis,1,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.795771162
67692-2,Cranichis scripta,Cranichis,3,Brazil,herbaceous perennial,seasonally dry tropical,No,No,Not Assessed,not threatened,0.355769744
77140620-1,Cranichis silvicola,Cranichis,2,Northern South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.716748003
67693-2,Cranichis sparrei,Cranichis,1,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.949491825
294560-2,Cranichis stictophylla,Cranichis,2,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.623719085
624621-1,Cranichis subumbellata,Cranichis,4,Mexico,herbaceous perennial,seasonally dry tropical,No,No,Not Assessed,threatened,0.528736021
624622-1,Cranichis sylvatica,Cranichis,9,Mexico,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.259595842
315770-2,Cranichis talamancana,Cranichis,1,Central America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.918963652
624623-1,Cranichis tenuiflora,Cranichis,1,Caribbean,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.895939586
624624-1,Cranichis tenuis,Cranichis,3,Caribbean,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.693960872
60433906-2,Cranichis turkeliae,Cranichis,1,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.94968587
67699-2,Cranichis viereckii,Cranichis,2,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.631646971
624631-1,Cranichis wageneri,Cranichis,13,Mexico,herbaceous perennial,seasonally dry tropical,No,No,Not Assessed,not threatened,0.106358716
67700-2,Cranichis werffii,Cranichis,2,Western South America,herbaceous perennial,seasonally dry tropical,No,No,Not Assessed,threatened,0.882795276
77128876-1,Cranichis zarucchii,Cranichis,1,Western South America,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.795351232
77166542-1,Cremastra amabilis,Cremastra,1,China,herbaceous perennial,subtropical,No,No,Not Assessed,threatened,0.831593898
1014001-1,Cremastra aphylla,Cremastra,1,Eastern Asia,herbaceous perennial,temperate,No,No,Not Assessed,threatened,0.746434003
624633-1,Cremastra appendiculata,Cremastra,16,Russian Far East,herbaceous perennial,subtropical,No,No,Not Assessed,not threatened,0.057560118
70029607-1,Cremastra guizhouensis,Cremastra,1,China,herbaceous perennial,temperate,No,No,Not Assessed,threatened,0.831593898
77130401-1,Cremastra malipoensis,Cremastra,2,China,herbaceous perennial,subtropical,No,No,Not Assessed,threatened,0.836620622
624639-1,Cremastra unguiculata,Cremastra,3,China,herbaceous perennial,temperate,No,No,Not Assessed,threatened,0.489257388
988091-1,Crepidium acuminatum,Crepidium,19,China,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.043722905
993044-1,Crepidium alagense,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.644652832
77208274-1,Crepidium alamaganense,Crepidium,1,Northwestern Pacific,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.770588108
77129176-1,Crepidium amabilis,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.511092654
988093-1,Crepidium amplectens,Crepidium,5,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.102867379
77117323-1,Crepidium andersonii,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.440233016
20005253-1,Crepidium angustifoveum,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.523460672
988094-1,Crepidium arachnoideum,Crepidium,2,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.147560594
77129209-1,Crepidium arboricola,Crepidium,1,Malesia,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.781387806
988095-1,Crepidium arietinum,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.849320019
988096-1,Crepidium aschistum,Crepidium,1,Indo-China,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.899802712
988097-1,Crepidium atratum,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.195793751
988098-1,Crepidium atrobrachiatum,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.19583056
20000587-1,Crepidium atrosanguineum,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.71115186
20000599-1,Crepidium auratum,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.440182303
77104552-1,Crepidium bahanense,Crepidium,2,China,herbaceous perennial,subtropical,No,No,Not Assessed,threatened,0.742638949
988099-1,Crepidium balabacense,Crepidium,3,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.278261945
988101-1,Crepidium bancanoides,Crepidium,5,Eastern Asia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.126510247
988100-1,Crepidium bancanum,Crepidium,2,Indo-China,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.418988693
993046-1,Crepidium bataanense,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.644652832
988103-1,Crepidium bengkulense,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.6990988
988104-1,Crepidium biauritum,Crepidium,10,China,herbaceous perennial,subtropical,No,No,Not Assessed,not threatened,0.180578373
20000588-1,Crepidium bidentiferum,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.440233016
988106-1,Crepidium binabayense,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.644652832
77117268-1,Crepidium bisepalum,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.471791266
988107-1,Crepidium bispiriferum,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.6990988
77208273-1,Crepidium boninense,Crepidium,2,Eastern Asia,herbaceous perennial,subtropical,No,No,Not Assessed,threatened,0.528575149
988109-1,Crepidium brachycaulos,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.195793751
988110-1,Crepidium brachyodontum,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.195793751
988111-1,Crepidium bracteosum,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.71115186
993047-1,Crepidium brevidentatum,Crepidium,4,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.216040854
988112-1,Crepidium breviscapum,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.195793751
988113-1,Crepidium burbidgei,Crepidium,1,Malesia,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.431384897
988114-1,Crepidium calcareum,Crepidium,1,Northwestern Pacific,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.633648087
988115-1,Crepidium calophyllum,Crepidium,12,China,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.188149849
988116-1,Crepidium caricoides,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.195793751
988117-1,Crepidium carinatifolium,Crepidium,2,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.292710676
993048-1,Crepidium carrii,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.714210267
988118-1,Crepidium celebicum,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.542078873
77160098-1,Crepidium chamaeorchis,Crepidium,3,Indo-China,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.226768649
988119-1,Crepidium chlorophrys,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.42934748
20000593-1,Crepidium christinae,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.955480668
988120-1,Crepidium circeum,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.19583056
20005255-1,Crepidium clemensii,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.569361041
993049-1,Crepidium comans,Crepidium,1,Southwestern Pacific,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.570676902
1004388-1,Crepidium comberi,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.803348306
988121-1,Crepidium commelinifolium,Crepidium,2,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.250886545
988122-1,Crepidium concavum,Crepidium,2,China,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.801358718
988123-1,Crepidium copelandii,Crepidium,2,Eastern Asia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.438451479
993050-1,Crepidium cordiglottis,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.6990988
77129199-1,Crepidium crassidens,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.523460672
77129200-1,Crepidium crassilabris,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.523460672
20005256-1,Crepidium crenatilobum,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.523460672
77208539-1,Crepidium crenulatum,Crepidium,1,Indian Subcontinent,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.552815595
1005075-1,Crepidium cribbianum,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.693604512
77117281-1,Crepidium cruciatum,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.464651939
988124-1,Crepidium cucullatum,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.57730275
988125-1,Crepidium cuneipetalum,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.71115186
20000601-1,Crepidium cupreum,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.889881567
20000589-1,Crepidium cupuliflorum,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.614463443
988126-1,Crepidium curvatulum,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.195793751
77117275-1,Crepidium curviauriculatum,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.464651939
988127-1,Crepidium cyanobrachium,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.285322413
20000590-1,Crepidium damusicum,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.440182303
988128-1,Crepidium davaensis,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.647550905
988129-1,Crepidium decumbens,Crepidium,2,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.147954609
988130-1,Crepidium dentatum,Crepidium,1,Malesia,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.657783106
1008699-1,Crepidium dewildeanum,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.803348306
988131-1,Crepidium diploceras,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.195793751
988132-1,Crepidium distans,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.195793751
988133-1,Crepidium dolichostachys,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.285322413
988134-1,Crepidium dryadum,Crepidium,2,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.195779422
77117324-1,Crepidium elegans,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.429351408
988135-1,Crepidium elmeri,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.644652832
988136-1,Crepidium epiphyticum,Crepidium,1,Papuasia,epiphyte,wet tropical,No,No,Not Assessed,not threatened,0.149502597
993052-1,Crepidium euanthum,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.285322413
77072207-1,Crepidium exilis,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.803519912
77195130-1,Crepidium falcifolium,Crepidium,1,Indo-China,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.928076615
988137-1,Crepidium fasciatum,Crepidium,2,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.147573806
988138-1,Crepidium fimbriatum,Crepidium,1,Australia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.217249849
77104594-1,Crepidium finetii,Crepidium,2,China,herbaceous perennial,subtropical,No,No,Not Assessed,threatened,0.743094393
988139-1,Crepidium fissum,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.195793751
1008700-1,Crepidium flammeum,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.803348306
624642-1,Crepidium flavescens,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.774867544
999452-1,Crepidium flavovirens,Crepidium,1,Australia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.217441257
77129182-1,Crepidium foetidum,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.285322413
77104604-1,Crepidium foliosum,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.471791266
77079814-1,Crepidium fontinale,Crepidium,1,Australia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.502956731
993054-1,Crepidium fulvum,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.285322413
77173787-1,Crepidium georgeanum,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.471791266
988140-1,Crepidium gibbosum,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.195793751
77104603-1,Crepidium gibbsiae,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.285322413
988141-1,Crepidium godefroyi,Crepidium,2,Indo-China,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.80796679
988142-1,Crepidium graciliscapum,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.511092654
988143-1,Crepidium graminifolium,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.195793751
988144-1,Crepidium grandiflorum,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.285322413
988145-1,Crepidium grandifolium,Crepidium,2,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.241648848
77117276-1,Crepidium gregorii,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.464651939
77129208-1,Crepidium hahajimense,Crepidium,1,Eastern Asia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.822052162
988146-1,Crepidium heliophilum,Crepidium,2,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.147954609
20000602-1,Crepidium hippocrepiforme,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.463988649
77129183-1,Crepidium hoi,Crepidium,1,Malesia,epiphyte,wet tropical,No,No,Not Assessed,threatened,0.717332718
988152-1,Crepidium holttumianum,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.609639664
77129184-1,Crepidium horielense,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.393137882
20000591-1,Crepidium humeratum,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.889881567
988153-1,Crepidium hutchinsonianum,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.644652832
988154-1,Crepidium hydrophilum,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.195793751
993057-1,Crepidium imthurnii,Crepidium,1,Southwestern Pacific,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.510832273
77129185-1,Crepidium incurviforceps,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.523460672
988155-1,Crepidium incurvum,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.195793751
77104556-1,Crepidium insulare,Crepidium,1,China,herbaceous perennial,subtropical,No,No,Not Assessed,threatened,0.8599793
988157-1,Crepidium integrilabium,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.285322413
988158-1,Crepidium irregularis,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.6990988
20005257-1,Crepidium josephianum,Crepidium,4,Indian Subcontinent,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.471398574
988159-1,Crepidium junghuhnii,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.852614364
20005258-1,Crepidium kandae,Crepidium,1,Eastern Asia,herbaceous perennial,subtropical,No,No,Not Assessed,threatened,0.905702516
993058-1,Crepidium kempfii,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.285322413
988161-1,Crepidium kerintjiense,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.6990988
988162-1,Crepidium kerstingianum,Crepidium,1,Northwestern Pacific,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.633648087
77117277-1,Crepidium keysseri,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.338057322
988163-1,Crepidium khasianum,Crepidium,6,China,herbaceous perennial,subtropical,No,No,Not Assessed,not threatened,0.191706404
988164-1,Crepidium kinabaluense,Crepidium,1,Malesia,herbaceous perennial,subtropical,No,No,Not Assessed,threatened,0.440233016
988165-1,Crepidium klabatense,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.542078873
77071302-1,Crepidium klimkoanum,Crepidium,1,Indo-China,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.901332058
993059-1,Crepidium kobi,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.852614364
988166-1,Crepidium koordersii,Crepidium,2,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.416285263
77117278-1,Crepidium kortylewskianum,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.467192229
77173788-1,Crepidium kristinianum,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.471791266
77117325-1,Crepidium laciniosum,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.429351408
988167-1,Crepidium laeve,Crepidium,2,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.147954609
993060-1,Crepidium lamii,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.338057322
988168-1,Crepidium langkawiense,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.714210267
993061-1,Crepidium latilabre,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.195793751
988170-1,Crepidium latipetalum,Crepidium,2,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.147573806
993062-1,Crepidium latisegmentum,Crepidium,4,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.216040854
993063-1,Crepidium latisepalum,Crepidium,1,Southwestern Pacific,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.510832273
988169-1,Crepidium latum,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.338057322
988171-1,Crepidium lawleri,Crepidium,1,Australia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.217441257
988172-1,Crepidium laxum,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.19583056
988173-1,Crepidium ledermannii,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.285322413
988174-1,Crepidium leucodon,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.195793751
993064-1,Crepidium lilacinum,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.71115186
988175-1,Crepidium lobatocallosum,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.889881567
993065-1,Crepidium lokonense,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.542078873
993066-1,Crepidium longifolium,Crepidium,1,Southwestern Pacific,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.510832273
988176-1,Crepidium longispicum,Crepidium,1,Papuasia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.195793751
988177-1,Crepidium lowii,Crepidium,2,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.379116957
77129187-1,Crepidium loxium,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.523460672
993067-1,Crepidium lunatum,Crepidium,2,Southwestern Pacific,herbaceous perennial,wet tropical,No,No,Not Assessed,not threatened,0.309730582
988178-1,Crepidium luniferum,Crepidium,2,Indo-China,herbaceous perennial,wet tropical,No,No,Not Assessed,threatened,0.561346303
