ipni_id,accepted_name,genera,number_of_regions,region,lifeform_category ,climate_description,seedbank_conserved,iucn_assessed,redlist_category,threat_pred,threat_prediction_prob
620088-1,Bulbophyllum sanguineum,Bulbophyllum,1,Western Indian Ocean,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.867265098
960127-1,Bulbophyllum sceliphron,Bulbophyllum,1,Papuasia,epiphyte,wet tropical,No,Yes,Critically Endangered,not threatened,0.427383414
620277-1,Bulbophyllum tampoketsense,Bulbophyllum,1,Western Indian Ocean,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.867265098
77105242-1,Bulbophyllum uroplatoides,Bulbophyllum,1,Western Indian Ocean,epiphyte,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.925487988
1018210-1,Caladenia attenuata,Caladenia,1,Australia,herbaceous perennial,subtropical,No,Yes,Critically Endangered,threatened,0.751093323
932581-1,Pterostylis bicolor,Pterostylis,3,Australia,herbaceous perennial,subtropical,Yes,No,Not Assessed,not threatened,0.370220125
972762-1,Pterostylis chlorogramma,Pterostylis,1,Australia,herbaceous perennial,subtropical,Yes,No,Not Assessed,threatened,0.852047693
615001-1,Aerangis ellisii,Aerangis,1,Western Indian Ocean,epiphyte,wet tropical,Yes,No,Not Assessed,threatened,0.581699288
621483-1,Calochilus cupreus,Calochilus,1,Australia,herbaceous perennial,subtropical,No,Yes,Critically Endangered,threatened,0.586722384
937110-1,Ceratocentron fesselii,Ceratocentron,1,Malesia,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.857467343
999977-1,Cheirostylis gunnarii,Cheirostylis,1,Indian Subcontinent,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.70577308
935412-1,Cheirostylis sessanica,Cheirostylis,1,Indian Subcontinent,herbaceous perennial,subtropical,No,Yes,Critically Endangered,threatened,0.707182314
1008215-1,Cheirostylis sherriffii,Cheirostylis,1,Indian Subcontinent,herbaceous perennial,subtropical,No,Yes,Critically Endangered,threatened,0.707383346
77107981-1,Cheirostylis tippica,Cheirostylis,1,Indian Subcontinent,herbaceous perennial,subtropical,No,Yes,Critically Endangered,threatened,0.707182314
994106-1,Coelogyne hajrae,Coelogyne,1,Indian Subcontinent,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.583760046
301628-2,Coryanthes toulemondiana,Coryanthes,1,Western South America,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.68554573
302415-2,Coryanthes vieirae,Coryanthes,2,Western South America,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.480621806
60442598-2,Coryanthes villegasiana,Coryanthes,1,Western South America,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.68786289
973736-1,Corybas dienemus,Corybas,6,Australia,herbaceous perennial,temperate,No,Yes,Critically Endangered,not threatened,0.432075926
77105200-1,Corybas sulcatus,Corybas,1,Subantarctic Islands,herbaceous perennial,temperate,No,Yes,Critically Endangered,threatened,0.788474278
988160-1,Crepidium kabense,Crepidium,1,Malesia,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.6990988
624735-1,Cryptopus dissectus,Cryptopus,3,Western Indian Ocean,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.589279906
305256-2,Cyclopogon werffii,Cyclopogon,1,Western South America,epiphyte,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.60866261
77179099-1,Cylindrolobus gloensis,Cylindrolobus,1,Indian Subcontinent,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.580769763
77125811-1,Cylindrolobus lohitensis,Cylindrolobus,1,Indian Subcontinent,herbaceous perennial,subtropical,No,Yes,Critically Endangered,threatened,0.574544975
625244-1,Cynorkis ambondrombensis,Cynorkis,1,Western Indian Ocean,herbaceous perennial,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.859722464
625252-1,Cynorkis bimaculata,Cynorkis,1,Western Indian Ocean,herbaceous perennial,subtropical,No,Yes,Critically Endangered,threatened,0.703020766
625317-1,Cynorkis catatii,Cynorkis,1,Western Indian Ocean,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.899285729
625319-1,Cynorkis formosa,Cynorkis,1,Western Indian Ocean,herbaceous perennial,subtropical,No,Yes,Critically Endangered,threatened,0.899285729
625275-1,Cynorkis globifera,Cynorkis,1,Western Indian Ocean,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.867690307
625320-1,Cynorkis humbertii,Cynorkis,1,Western Indian Ocean,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.899285729
625321-1,Cynorkis marojejyensis,Cynorkis,1,Western Indian Ocean,herbaceous perennial,subtropical,No,Yes,Critically Endangered,threatened,0.899285729
625290-1,Cynorkis monadenia,Cynorkis,1,Western Indian Ocean,herbaceous perennial,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.859722464
625322-1,Cynorkis muscicola,Cynorkis,1,Western Indian Ocean,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.899285729
77084858-1,Cynorkis pinguicularioides,Cynorkis,1,Western Indian Ocean,herbaceous perennial,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.92060535
625298-1,Cynorkis pseudorolfei,Cynorkis,1,Western Indian Ocean,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.867690307
625442-1,Cynorkis rolfei,Cynorkis,1,Western Indian Ocean,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.78319425
625445-1,Cynorkis sacculata,Cynorkis,1,Western Indian Ocean,herbaceous perennial,subtropical,No,Yes,Critically Endangered,threatened,0.783231884
625303-1,Cynorkis sagittata,Cynorkis,1,Western Indian Ocean,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.867690307
625304-1,Cynorkis schlechteri,Cynorkis,1,Western Indian Ocean,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.783231884
625325-1,Cynorkis souegesii,Cynorkis,1,Western Indian Ocean,herbaceous perennial,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.899285729
625326-1,Cynorkis sylvatica,Cynorkis,1,Western Indian Ocean,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.899285729
625328-1,Cynorkis tristis,Cynorkis,1,Western Indian Ocean,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.899285729
625313-1,Cynorkis usambarae,Cynorkis,1,East Tropical Africa,herbaceous perennial,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.828189805
625962-1,Cypripedium segawae,Cypripedium,1,Eastern Asia,herbaceous perennial,temperate,No,Yes,Critically Endangered,threatened,0.918506884
1009937-1,Cypripedium taibaiense,Cypripedium,1,China,herbaceous perennial,temperate,No,Yes,Critically Endangered,threatened,0.805445762
905924-1,Cypripedium wumengense,Cypripedium,1,China,herbaceous perennial,temperate,No,Yes,Critically Endangered,threatened,0.927088055
77130839-1,Cyrtochilum corniculatum,Cyrtochilum,1,Western South America,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.691925548
626888-1,Dendrobium bandaense,Dendrobium,2,Malesia,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.440462321
77070618-1,Dendrobium brillianum,Dendrobium,1,Papuasia,epiphyte,wet tropical,No,Yes,Critically Endangered,not threatened,0.395348415
904013-1,Dendrobium huoshanense,Dendrobium,1,China,epiphyte,subtropical,No,Yes,Critically Endangered,threatened,0.893248865
988800-1,Dendrobium militare,Dendrobium,1,Malesia,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.653302318
77205278-1,Dendrobium moiorum,Dendrobium,1,Papuasia,epiphyte,wet tropical,No,Yes,Critically Endangered,not threatened,0.402338708
930557-1,Dendrobium nareshbahadurii,Dendrobium,1,Indian Subcontinent,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.572627398
628140-1,Dendrobium officinale,Dendrobium,6,China,epiphyte,subtropical,No,Yes,Critically Endangered,not threatened,0.231211911
628573-1,Dendrobium schuetzei,Dendrobium,1,Malesia,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.657371408
77205494-1,Dendrobium taprobanium,Dendrobium,1,Indian Subcontinent,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.96306256
77823-2,Dendrophylax fawcettii,Dendrophylax,1,Caribbean,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.741306976
20000686-1,Dinklageella villiersii,Dinklageella,1,West-Central Tropical Africa,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.836416629
931821-1,Diplomeris josephii,Diplomeris,1,Indian Subcontinent,herbaceous perennial,subtropical,No,Yes,Critically Endangered,threatened,0.574544975
20006695-1,Disperis bosseri,Disperis,1,Western Indian Ocean,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.922123274
20006690-1,Disperis ciliata,Disperis,1,Western Indian Ocean,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.934721264
630335-1,Disperis egregia,Disperis,1,East Tropical Africa,herbaceous perennial,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.923164593
630369-1,Disperis mozambicensis,Disperis,1,South Tropical Africa,herbaceous perennial,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.786818619
20002720-1,Caladenia abbreviata,Caladenia,1,Australia,herbaceous perennial,subtropical,Yes,No,Not Assessed,threatened,0.55357799
620660-1,Caladenia filamentosa,Caladenia,4,Australia,herbaceous perennial,subtropical,Yes,No,Not Assessed,not threatened,0.082352878
897639-1,Dracula lemurella,Dracula,1,Western South America,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.685732709
89987-2,Elleanthus cinnabarinus,Elleanthus,1,Western South America,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.695278245
979440-1,Encyclia kingsii,Encyclia,1,Caribbean,epiphyte,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.855588622
632112-1,Epidendrum lanceolatum,Epidendrum,1,Caribbean,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.66065639
632957-1,Epidendrum uribei,Epidendrum,1,Western South America,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.561546948
77143806-1,Epipactis hyblaea,Epipactis,1,Southeastern Europe,herbaceous perennial,temperate,No,Yes,Critically Endangered,threatened,0.834860725
634634-1,Eulophia grandidieri,Eulophia,1,Western Indian Ocean,herbaceous perennial,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.760920584
634759-1,Eulophia mangenotiana,Eulophia,1,Western Indian Ocean,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.819107699
634800-1,Eulophia nervosa,Eulophia,1,Western Indian Ocean,herbaceous perennial,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.760920584
634812-1,Eulophia obtusa,Eulophia,5,Indian Subcontinent,herbaceous perennial,seasonally dry tropical,No,Yes,Critically Endangered,not threatened,0.062100276
635397-1,Gastrochilus calceolaris,Gastrochilus,17,China,epiphyte,wet tropical,No,Yes,Critically Endangered,not threatened,0.05176433
906150-1,Gastrodia arunachalensis,Gastrodia,1,Indian Subcontinent,herbaceous perennial,subtropical,No,Yes,Critically Endangered,threatened,0.921096142
621924-1,Catasetum saccatum,Catasetum,8,Northern South America,epiphyte,wet tropical,Yes,No,Not Assessed,not threatened,0.029751614
636149-1,Goodyera macrophylla,Goodyera,1,Macaronesia,herbaceous perennial,subtropical,No,Yes,Critically Endangered,threatened,0.828662066
77071952-1,Grandiphyllum schunkeanum,Grandiphyllum,1,Brazil,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.706902148
636377-1,Graphorkis medemiae,Graphorkis,1,Western Indian Ocean,epiphyte,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.675949969
1005136-1,Habenaria alinae,Habenaria,1,West-Central Tropical Africa,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.983662081
1005145-1,Habenaria bosseriana,Habenaria,1,West-Central Tropical Africa,herbaceous perennial,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.983662081
77090847-1,Habenaria cauda-porcelli,Habenaria,1,Malesia,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.899234698
624299-1,Coryanthes bruchmuelleri,Coryanthes,3,Northern South America,epiphyte,wet tropical,Yes,No,Not Assessed,not threatened,0.095442414
637561-1,Habenaria lewallei,Habenaria,1,West-Central Tropical Africa,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.922076375
637895-1,Habenaria phylacocheira,Habenaria,1,West Tropical Africa,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.866641465
305106-2,Houlletia conspersa,Houlletia,1,Western South America,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.68554573
942766-1,Hymenorchis serrulata,Hymenorchis,1,Southwestern Pacific,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.581994938
279489-2,Lepanthes panope,Lepanthes,1,Western South America,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.685941744
301194-2,Lepanthes sinuosa,Lepanthes,1,Western South America,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.685941744
640910-1,Liparis goodyeroides,Liparis,2,West-Central Tropical Africa,epiphyte,wet tropical,No,Yes,Critically Endangered,not threatened,0.406569006
640958-1,Liparis kamerunensis,Liparis,1,West-Central Tropical Africa,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.892152115
20000643-1,Liparis letouzeyana,Liparis,1,West-Central Tropical Africa,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.959938606
971694-1,Macropodanthus membranifer,Macropodanthus,1,Malesia,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.571403005
642661-1,Masdevallia apparitio,Masdevallia,1,Western South America,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.685732709
154972-2,Maxillaria broadwayi,Maxillaria,1,Caribbean,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.693256316
969084-1,Mexipedium xerophyticum,Mexipedium,1,Mexico,herbaceous perennial,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.976180411
938696-1,Mystacidium nguruense,Mystacidium,1,East Tropical Africa,epiphyte,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.900683691
90724-2,Encyclia candollei,Encyclia,4,Mexico,epiphyte,seasonally dry tropical,Yes,No,Not Assessed,not threatened,0.284490878
77122793-1,Neottia dihangensis,Neottia,1,Indian Subcontinent,herbaceous perennial,temperate,No,Yes,Critically Endangered,threatened,0.661681532
645319-1,Neottia gaudissartii,Neottia,3,China,herbaceous perennial,temperate,No,Yes,Critically Endangered,threatened,0.495359854
104074-3,Oberonia attenuata,Oberonia,1,Australia,epiphyte,wet tropical,No,Yes,Critically Endangered,not threatened,0.129545251
77176459-1,Oberonia bopannae,Oberonia,1,Indian Subcontinent,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.581399221
77178745-1,Oberonia jhae,Oberonia,1,Indian Subcontinent,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.581399221
646151-1,Octarrhena saccolabioides,Octarrhena,1,Southwestern Pacific,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.4795122
20004035-1,Oreorchis sanguinea,Oreorchis,1,Indian Subcontinent,herbaceous perennial,subtropical,No,Yes,Critically Endangered,threatened,0.574770431
902709-1,Paphiopedilum adductum,Paphiopedilum,1,Malesia,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.965864099
77110087-1,Paphiopedilum canhii,Paphiopedilum,2,China,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.89816922
77116628-1,Paphiopedilum cornuatum,Paphiopedilum,1,China,herbaceous perennial,subtropical,No,Yes,Critically Endangered,threatened,0.929968247
649746-1,Paphiopedilum dayanum,Paphiopedilum,1,Malesia,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.687869883
649747-1,Paphiopedilum delenatii,Paphiopedilum,3,China,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.678014461
929893-1,Paphiopedilum emersonii,Paphiopedilum,3,China,herbaceous perennial,subtropical,No,Yes,Critically Endangered,threatened,0.785408087
649758-1,Paphiopedilum exul,Paphiopedilum,1,Indo-China,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.864963303
649759-1,Paphiopedilum fairrieanum,Paphiopedilum,2,Indian Subcontinent,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.83112743
898354-1,Paphiopedilum fowliei,Paphiopedilum,1,Malesia,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.96578843
2996376-1,Paphiopedilum gigantifolium,Paphiopedilum,1,Malesia,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.936008513
1007061-1,Paphiopedilum hangianum,Paphiopedilum,2,China,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.894406629
991802-1,Paphiopedilum helenae,Paphiopedilum,2,China,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.892728567
932456-1,Paphiopedilum henryanum,Paphiopedilum,3,China,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.785408087
77112574-1,Paphiopedilum inamorii,Paphiopedilum,1,Malesia,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.90625134
1014166-1,Paphiopedilum intaniae,Paphiopedilum,1,Malesia,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.93607517
904844-1,Paphiopedilum kolopakingii,Paphiopedilum,1,Malesia,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.902930851
649787-1,Paphiopedilum lawrenceanum,Paphiopedilum,1,Malesia,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.731492196
911024-1,Paphiopedilum liemianum,Paphiopedilum,1,Malesia,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.933185403
649798-1,Paphiopedilum micranthum,Paphiopedilum,3,China,herbaceous perennial,subtropical,No,Yes,Critically Endangered,threatened,0.693499981
1008338-1,Paphiopedilum ooii,Paphiopedilum,1,Malesia,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.903028603
1006135-1,Paphiopedilum parnatanum,Paphiopedilum,1,Malesia,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.965925129
649815-1,Paphiopedilum primulinum,Paphiopedilum,1,Malesia,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.933186328
649818-1,Paphiopedilum purpuratum,Paphiopedilum,4,China,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,not threatened,0.378631925
77106593-1,Paphiopedilum qingyongii,Paphiopedilum,1,China,herbaceous perennial,subtropical,No,Yes,Critically Endangered,threatened,0.854366728
649825-1,Paphiopedilum rothschildianum,Paphiopedilum,1,Malesia,herbaceous perennial,wet tropical,No,Yes,Critically Endangered,threatened,0.731495047
